Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
ECOHLDS (0059),MAIN,ECOBUILT HOLDINGS BERHAD,Telecommunications Service Providers ,27.35m,0.07,-,0.00,-46.05
ECOMATE (0239),MAIN,ECOMATE HOLDINGS BERHAD,Household Goods ,315.06m,0.88,104.76,0.57,7.00
ECONBHD (5253),MAIN,ECONPILE HOLDINGS BERHAD,Construction ,694.58m,0.49,-,0.00,-6.12
ECOWLD (8206),MAIN,ECO WORLD DEVELOPMENT GROUP BERHAD,Property ,4.299b,1.46,21.28,4.11,4.21
EDARAN (5036),MAIN,EDARAN BERHAD,Technology Equipment ,72.60m,1.21,31.35,2.48,7.52
EDELTEQ (0278),ACE,EDELTEQ HOLDINGS BHD,Technology Equipment ,199.70m,0.38,49.34,0.00,8.44
EDEN (7471),MAIN,EDEN INC. BERHAD,Electricity ,73.51m,0.16,-,0.00,-7.66
EDGENTA (1368),MAIN,UEM EDGENTA BERHAD,Industrial Services ,794.20m,0.96,25.74,2.09,1.90
EDUSPEC (0107),ACE,EDUSPEC HOLDINGS BERHAD,Software ,170.07m,0.15,-,0.00,-5.07
EFFICEN (0064),MAIN,EFFICIENT E-SOLUTIONS BERHAD,Industrial Services ,213.08m,0.23,-,0.00,-0.29
EFORCE (0065),MAIN,EXCEL FORCE MSC BERHAD,Software ,219.56m,0.36,-,2.78,-
EFRAME (0227),ACE,ECONFRAME BERHAD,Building Materials ,287.33m,0.80,18.97,0.00,14.96
EG (8907),MAIN,EG INDUSTRIES BERHAD,"Industrial Materials, Components & Equipment ",598.79m,1.28,13.78,0.00,8.37
EIB (0255),ACE,ECOSCIENCE INTERNATIONAL BERHAD,Industrial Engineering ,140.25m,0.38,-,0.00,-13.35
EIG (5081),MAIN,ESTHETICS INTERNATIONAL GROUP BERHAD,Personal Goods ,74.72m,0.32,35.80,1.59,1.28
EITA (5208),MAIN,EITA RESOURCES BERHAD,"Industrial Materials, Components & Equipment ",282.19m,0.94,17.81,2.14,6.18
EKOVEST (8877),MAIN,EKOVEST BERHAD,Construction ,1.423b,0.48,-,0.00,-6.68
EKSONS (9016),MAIN,EKSONS CORPORATION BERHAD,Wood & Wood Products ,82.11m,0.50,14.58,0.00,1.42
ELKDESA (5228),MAIN,ELK-DESA RESOURCES BERHAD,Other Financials ,577.61m,1.27,16.78,5.12,7.28
ELSOFT (0090),MAIN,ELSOFT RESEARCH BERHAD,Technology Equipment ,371.37m,0.54,48.64,3.74,5.50
EMCC (0286),ACE,EVERGREEN MAX CASH CAPITAL BERHAD,Other Financials ,618.77m,0.56,-,0.00,-
EMETALL (7217),MAIN,EONMETALL GROUP BERHAD,Metals ,112.03m,0.40,-,3.12,-2.19
EMICO (9091),MAIN,EMICO HOLDINGS BERHAD,Consumer Services ,38.96m,0.31,13.72,0.00,5.38
ENCORP (6076),MAIN,ENCORP BERHAD,Property ,82.34m,0.26,-,0.00,-2.79
ENEST (03025),LEAP,ENEST GROUP BERHAD,Consumer Services ,65.10m,0.14,-,0.00,-
ENGKAH (7149),MAIN,ENG KAH CORPORATION BERHAD,Household Goods ,47.25m,0.40,-,0.00,-6.28
ENGTEX (5056),MAIN,ENGTEX GROUP BERHAD,Metals ,452.19m,1.02,44.74,0.00,1.23
ENRA (8613),MAIN,ENRA GROUP BERHAD,Property ,95.35m,0.70,-,0.00,-15.62
EPICON (4847),MAIN,EPICON BERHAD,"Travel, Leisure & Hospitality ",264.68m,0.45,3.88,0.00,104.27
EPMB (7773),MAIN,EP MANUFACTURING BHD,Auto Parts ,142.08m,0.65,7.63,0.00,6.17
EQ8MID (0824EA),ETF,EQ8 MSCI MALAYSIA ISLAMIC DIVIDEND ETF,Equity Fund ,24.88m,1.25,-,1.68,-
EQ8MY25 (0821EA),ETF,EQ8 DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25 ETF,Equity Fund ,134.86m,1.00,-,1.71,-
EQ8SID (0825EA),ETF,EQ8 MSCI SEA ISLAMIC DIVIDEND ETF,Equity Fund ,47.91m,0.81,-,1.42,-
EQ8US50 (0827EA),ETF,EQ8 DOW JONES US TITANS 50 ETF,Equity Fund ,25.53m,2.55,-,0.00,-
ESAFE (0190),ACE,EVERSAFE RUBBER BERHAD,Auto Parts ,51.73m,0.22,41.35,3.72,2.07
ESCERAM (0100),ACE,ES CERAMICS TECHNOLOGY BHD,"Industrial Materials, Components & Equipment ",130.92m,0.20,4.91,0.00,13.69
ETH (03021),LEAP,EQUITIESTRACKER HOLDINGS BERHAD,Consumer Services ,41.25m,0.14,-,0.00,-
EUPE (6815),MAIN,EUPE CORPORATION BERHAD,Property ,174.17m,1.23,5.42,1.46,6.34
EURO (7208),MAIN,EURO HOLDINGS BERHAD,Consumer Services ,70.61m,0.06,-,0.00,-
EUROSP (7094),MAIN,EUROSPAN HOLDINGS BERHAD,Household Goods ,57.75m,1.30,-,0.00,-9.53
EVD (0174),ACE,EVD BERHAD,Software ,63.90m,0.15,-,0.00,-
EVERGRN (5101),MAIN,EVERGREEN FIBREBOARD BERHAD,Wood & Wood Products ,270.86m,0.32,-,0.00,-3.57
EWEIN (7249),MAIN,EWEIN BERHAD,Property ,307.62m,1.02,275.68,0.00,0.45
EWINT (5283),MAIN,ECO WORLD INTERNATIONAL BERHAD,Property ,876.00m,0.37,-,106.85,-3.49
F&N (3689),MAIN,FRASER & NEAVE HOLDINGS BHD,Food & Beverages ,11.025b,30.06,21.67,2.56,14.29
FACBIND (2984),MAIN,FACB INDUSTRIES INCORPORATED BERHAD,Metals ,102.20m,1.20,13.04,3.58,3.52
FAJAR (7047),MAIN,FAJARBARU BUILDER GROUP BHD,Construction ,256.92m,0.35,56.56,1.45,1.17
FAREAST (5029),MAIN,FAR EAST HOLDINGS BERHAD,Plantation ,2.138b,3.60,21.56,5.00,7.17
FARLIM (6041),MAIN,FARLIM GROUP (MALAYSIA) BHD,Property ,40.41m,0.24,-,0.00,-5.01
FAST (0084),ACE,FAST ENERGY HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",30.14m,0.07,-,0.00,-13.30
FAVCO (7229),MAIN,FAVELLE FAVCO BERHAD,Industrial Engineering ,503.02m,2.14,9.86,41.59,6.62
FBBHD (03026),LEAP,FIBROMAT (M) BERHAD,Industrial Services ,75.60m,0.35,-,2.86,-
FCW (2755),MAIN,FCW HOLDINGS BERHAD,Household Goods ,257.49m,1.03,-,0.00,-
FFB (5306),MAIN,FARM FRESH BERHAD,Food & Beverages ,2.677b,1.43,60.08,0.70,6.80
FGV (5222),MAIN,FGV HOLDINGS BERHAD,Plantation ,5.034b,1.38,48.94,2.17,1.72
FIAMMA (6939),MAIN,FIAMMA HOLDINGS BERHAD,Household Goods ,567.34m,1.07,-,0.00,-
FIBON (0149),MAIN,FIBON BERHAD,"Industrial Materials, Components & Equipment ",45.57m,0.47,8.49,2.69,8.84
FIHB (8605),MAIN,FEDERAL INTERNATIONAL HOLDINGS BERHAD,Household Goods ,58.71m,0.41,4.86,1.48,8.37
FIMACOR (3107),MAIN,FIMA CORPORATION BERHAD,Industrial Services ,439.02m,1.79,24.66,6.98,3.08
FINTEC (0150),ACE,FINTEC GLOBAL BERHAD,Other Financials ,59.27m,0.01,8.33,0.00,3.08
FITTERS (9318),MAIN,FITTERS DIVERSIFIED BERHAD,"Industrial Materials, Components & Equipment ",117.71m,0.05,-,0.00,-7.34
FLBHD (5197),MAIN,FOCUS LUMBER BERHAD,Wood & Wood Products ,112.91m,0.49,-,4.08,-4.33
FLEXI (0231),ACE,FLEXIDYNAMIC HOLDINGS BERHAD,Industrial Services ,59.94m,0.20,66.67,0.00,2.31
FM (7210),MAIN,FM GLOBAL LOGISTICS HOLDINGS BERHAD,Transportation & Logistics Services ,335.07m,0.60,9.93,6.67,8.75
FOCUS (0116),ACE,FOCUS DYNAMICS GROUP BERHAD,"Travel, Leisure & Hospitality ",63.72m,0.01,-,0.00,-
FOCUSP (0157),MAIN,FOCUS POINT HOLDINGS BERHAD,Personal Goods ,323.40m,0.70,10.72,4.29,25.61
FPGROUP (5277),MAIN,FOUNDPAC GROUP BERHAD,"Industrial Materials, Components & Equipment ",199.60m,0.37,29.44,4.11,6.29
FPI (9172),MAIN,FORMOSA PROSONIC INDUSTRIES BERHAD,Household Goods ,812.31m,3.15,6.92,7.30,21.46
FRONTKN (0128),MAIN,FRONTKEN CORPORATION BERHAD,Semiconductors ,6.084b,3.85,54.38,1.09,17.27
FSBM (9377),MAIN,FSBM HOLDINGS BERHAD,Technology Equipment ,147.56m,0.31,76.25,0.00,8.00
G3 (7184),MAIN,G3 GLOBAL BERHAD,Personal Goods ,94.34m,0.03,41.67,0.00,3.00
GADANG (9261),MAIN,GADANG HOLDINGS BHD,Construction ,316.71m,0.44,-,0.00,-3.13
GAMUDA (5398),MAIN,GAMUDA BERHAD,Construction ,14.340b,5.18,16.31,2.32,7.54
GASMSIA (5209),MAIN,GAS MALAYSIA BERHAD,"Gas, Water & Multi-utilities ",4.481b,3.49,11.69,6.52,28.04
GBAY (9148),MAIN,GREATER BAY HOLDINGS BERHAD,Packaging Materials ,50.85m,0.63,-,0.00,-19.57
GBGAQRS (5226),MAIN,GABUNGAN AQRS BERHAD,Construction ,195.82m,0.36,-,0.00,-
GCAP (7676),MAIN,G CAPITAL BERHAD,Transportation & Logistics Services ,123.59m,0.38,-,0.00,-9.65
GCB (5102),MAIN,GUAN CHONG BERHAD,Food & Beverages ,2.949b,2.51,29.19,1.39,5.76
GCE (5592),MAIN,GRAND CENTRAL ENTERPRISES BHD,"Travel, Leisure & Hospitality ",66.98m,0.34,-,0.00,-3.39
GDB (0198),MAIN,GDB HOLDINGS BERHAD,Construction ,253.13m,0.27,31.40,0.00,4.78
GDEX (0078),MAIN,GDEX BERHAD,Transportation & Logistics Services ,987.25m,0.18,-,0.86,-7.75
GENETEC (0104),MAIN,GENETEC TECHNOLOGY BERHAD,Technology Equipment ,1.581b,2.04,-,0.00,-
GENM (4715),MAIN,GENTING MALAYSIA BERHAD,"Travel, Leisure & Hospitality ",16.151b,2.72,36.96,5.51,3.26
GENP (2291),MAIN,GENTING PLANTATIONS BERHAD,Plantation ,5.519b,6.15,21.77,3.41,4.75
GENTING (3182),MAIN,GENTING BERHAD,"Travel, Leisure & Hospitality ",18.338b,4.73,19.73,3.17,2.74
GESHEN (7197),MAIN,GE-SHEN CORPORATION BERHAD,"Industrial Materials, Components & Equipment ",457.65m,3.64,54.49,0.00,5.52
GFM (0039),ACE,GFM SERVICES BERHAD,Industrial Services ,288.60m,0.38,10.50,4.05,19.05
GHLSYS (0021),MAIN,GHL SYSTEMS BERHAD,Digital Services ,702.02m,0.62,24.40,4.07,5.28
GIIB (7192),MAIN,GIIB HOLDINGS BERHAD,Auto Parts ,47.30m,0.08,-,0.00,-
GKENT (3204),MAIN,GEORGE KENT (MALAYSIA) BERHAD,Construction ,264.74m,0.47,-,4.26,-1.64
GLBHD (7382),MAIN,GOLDEN LAND BERHAD,Plantation ,59.07m,0.27,-,0.00,-3.99
GLOMAC (5020),MAIN,GLOMAC BERHAD,Property ,304.03m,0.38,13.67,3.29,1.79
GLOTEC (5220),MAIN,GLOBALTEC FORMATION BERHAD,"Industrial Materials, Components & Equipment ",138.60m,0.52,17.76,2.14,2.80
GLXT (0284),ACE,GLOSTREXT BERHAD,Industrial Services ,77.34m,0.19,-,2.63,-
GMUTUAL (9962),MAIN,GROMUTUAL BERHAD,Property ,116.44m,0.31,7.42,3.23,3.98
GOB (1147),MAIN,GLOBAL ORIENTAL BERHAD,Property ,86.39m,0.19,-,0.00,-0.38
GOCEAN (0074),ACE,GREEN OCEAN CORPORATION BERHAD,Food & Beverages ,29.56m,0.14,-,0.00,-
GOINNO (03028),LEAP,GO INNOVATE ASIA BERHAD,Metals ,45.00m,0.15,-,0.00,-
GOLDETF (0828EA),ETF,TRADEPLUS SHARIAH GOLD TRACKER,Commodity Fund ,77.05m,3.38,-,0.00,-
GOPENG (2135),MAIN,GOPENG BERHAD,Plantation ,135.17m,0.34,-,2.99,-0.22
GPACKET (0082),MAIN,GREEN PACKET BERHAD,Telecommunications Service Providers ,80.11m,0.04,-,0.00,-
GPHAROS (5649),MAIN,GOLDEN PHAROS BERHAD,Wood & Wood Products ,71.80m,0.51,2.94,9.02,26.27
GPP (03029),LEAP,GPP RESOURCES BERHAD,Industrial Services ,43.43m,0.28,-,0.00,-
GREATEC (0208),MAIN,GREATECH TECHNOLOGY BERHAD,Technology Equipment ,5.870b,4.68,38.02,0.00,20.55
GREENYB (0136),MAIN,GREENYIELD BERHAD,Agricultural Products ,108.46m,0.20,-,0.00,-7.24
GTRONIC (7022),MAIN,GLOBETRONICS TECHNOLOGY BERHAD,Semiconductors ,985.56m,1.46,37.34,4.11,8.50
GUH (3247),MAIN,GUH HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",104.37m,0.37,-,0.00,-3.42
GUOCO (1503),MAIN,GUOCOLAND (MALAYSIA) BERHAD,Property ,539.35m,0.77,15.59,2.60,2.48
HAILY (0237),ACE,HAILY GROUP BERHAD,Construction ,91.84m,0.52,12.50,2.17,8.58
HANDAL (7253),MAIN,HANDAL ENERGY BERHAD,"Energy Infrastructure, Equipment & Services ",33.60m,0.09,-,0.00,-
HAPSENG (3034),MAIN,HAP SENG CONSOLIDATED BERHAD,Diversified Industrials ,11.129b,4.47,13.90,5.59,10.17
HARBOUR (2062),MAIN,HARBOUR-LINK GROUP BERHAD,Transportation & Logistics Services ,480.48m,1.20,4.84,5.00,12.90
HARISON (5008),MAIN,HARRISONS HOLDINGS (MALAYSIA) BERHAD,Food & Beverages ,617.09m,9.01,9.34,5.55,14.73
HARNLEN (7501),MAIN,HARN LEN CORPORATION BHD,Plantation ,219.09m,0.38,-,0.00,-
HARTA (5168),MAIN,HARTALEGA HOLDINGS BERHAD,Health Care Equipment & Services ,9.494b,2.77,-,0.00,-6.54
HBGLOB (5187),MAIN,HB GLOBAL LIMITED,Food & Beverages ,89.93m,0.12,-,0.00,-28.92
HCK (7105),MAIN,HCK CAPITAL GROUP BERHAD,Property ,1.154b,2.12,43.98,0.00,7.30
HEGROUP (0296),ACE,HE GROUP BERHAD,Industrial Services ,235.40m,0.54,-,0.00,-
HEIM (3255),MAIN,HEINEKEN MALAYSIA BERHAD,Food & Beverages ,7.123b,23.58,18.42,5.85,84.24
HEKTAR (5121),MAIN,HEKTAR REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,452.36m,0.64,9.22,7.81,6.00
HENGYUAN (4324),MAIN,HENGYUAN REFINING COMPANY BERHAD,Oil & Gas Producers ,939.00m,3.13,-,3.19,-34.84
HEVEA (5095),MAIN,HEVEABOARD BERHAD,Wood & Wood Products ,187.36m,0.33,-,3.64,-0.88
HEXCAP (0035),ACE,HEXTAR CAPITAL BERHAD,Telecommunications Equipment ,185.49m,0.42,-,0.00,-
HEXCARE (7803),MAIN,HEXTAR HEALTHCARE BERHAD,Health Care Equipment & Services ,224.10m,0.21,-,0.00,-11.20
HEXIND (0161),ACE,HEXTAR INDUSTRIES BERHAD,"Industrial Materials, Components & Equipment ",989.04m,0.36,23.53,5.56,12.34
HEXRTL (7202),MAIN,HEXTAR RETAIL BERHAD,Household Goods ,170.72m,0.45,145.16,8.15,0.78
HEXTAR (5151),MAIN,HEXTAR GLOBAL BERHAD,Chemicals ,3.447b,0.88,61.62,1.14,20.29
HEXTECH (5136),MAIN,HEXTAR TECHNOLOGIES SOLUTIONS BERHAD,Transportation & Logistics Services ,2.491b,1.21,-,2.07,-0.40
HEXZA (3298),MAIN,HEXZA CORPORATION BERHAD,Chemicals ,197.37m,0.99,28.89,5.08,1.83
HHHCORP (0160),ACE,HIAP HUAT HOLDINGS BERHAD,Industrial Services ,59.87m,0.15,7.69,0.00,8.48
HHRG (0175),ACE,HHRG BERHAD,"Industrial Materials, Components & Equipment ",177.91m,0.21,11.02,0.00,7.75
HIAPTEK (5072),MAIN,HIAP TECK VENTURE BERHAD,Metals ,716.57m,0.41,10.30,1.22,5.38
HIBISCS (5199),MAIN,HIBISCUS PETROLEUM BERHAD,Oil & Gas Producers ,2.085b,2.59,4.62,3.14,15.75
HIGHTEC (7033),MAIN,KUMPULAN H & L HIGH-TECH BERHAD,Industrial Engineering ,107.83m,0.89,11.93,3.39,6.45
HIL (8443),MAIN,HIL INDUSTRIES BERHAD,Chemicals ,303.97m,0.91,7.87,2.20,8.63
HLBANK (5819),MAIN,HONG LEONG BANK BERHAD,Banking ,42.444b,19.58,10.85,3.01,10.41
HLCAP (5274),MAIN,HONG LEONG CAPITAL BERHAD,Other Financials ,1.010b,4.09,16.85,4.16,5.92
HLFG (1082),MAIN,HONG LEONG FINANCIAL GROUP BERHAD,Banking ,19.278b,16.80,6.62,2.92,10.10
HLIND (3301),MAIN,HONG LEONG INDUSTRIES BERHAD,Automotive ,3.463b,10.56,10.64,5.40,14.51
HLT (0188),ACE,HLT GLOBAL BERHAD,"Industrial Materials, Components & Equipment ",120.19m,0.16,-,0.00,-51.18
HM (0060),ACE,HARVEST MIRACLE CAPITAL BERHAD,Technology Equipment ,140.96m,0.12,-,0.00,-2.27
HOHUP (5169),MAIN,HO HUP CONSTRUCTION COMPANY BHD,Construction ,90.70m,0.18,-,0.00,-21.94
HOMERIZ (5160),MAIN,HOMERITZ CORPORATION BERHAD,Household Goods ,252.47m,0.55,8.79,2.94,9.84
HONGSENG (0041),MAIN,HONG SENG CONSOLIDATED BERHAD,Software ,51.08m,0.01,-,0.00,-
HPMT (5291),MAIN,HPMT HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",106.76m,0.33,16.17,2.00,4.67
HPPHB (0228),ACE,HPP HOLDINGS BERHAD,Packaging Materials ,135.95m,0.35,18.92,4.29,5.97
HSPLANT (5138),MAIN,HAP SENG PLANTATIONS HOLDINGS BERHAD,Plantation ,1.472b,1.84,16.11,3.70,4.68
HSSEB (0185),MAIN,HSS ENGINEERS BERHAD,Industrial Engineering ,579.67m,1.14,28.50,0.81,7.69
HTPADU (5028),MAIN,HEITECH PADU BERHAD,Digital Services ,188.28m,1.86,26.09,0.00,5.70
HUAYANG (5062),MAIN,HUA YANG BERHAD,Property ,147.40m,0.34,21.75,0.00,1.50
HUBLINE (7013),MAIN,HUBLINE BERHAD,Transportation & Logistics Services ,171.60m,0.04,400.00,0.00,0.25
HUMEIND (5000),MAIN,HUME CEMENT INDUSTRIES BERHAD,Building Materials ,1.633b,2.60,9.33,0.77,32.78
HUPSENG (5024),MAIN,HUP SENG INDUSTRIES BERHAD,Food & Beverages ,656.00m,0.82,14.54,4.88,28.20
HWATAI (8478),MAIN,HWA TAI INDUSTRIES BERHAD,Food & Beverages ,40.78m,0.55,-,0.00,-26.71
HWGB (9601),MAIN,HO WAH GENTING BERHAD,"Industrial Materials, Components & Equipment ",44.19m,0.22,-,0.00,-
IBHD (4251),MAIN,I-BERHAD,Property ,427.18m,0.23,36.51,0.87,1.00
IBRACO (5084),MAIN,IBRACO BERHAD,Property ,540.59m,0.99,11.74,2.02,9.62
ICAP (5108),MAIN,ICAPITAL.BIZ BERHAD,Closed End Fund ,429.80m,3.07,222.46,0.00,0.38
ICON (5255),MAIN,ICON OFFSHORE BERHAD,"Energy Infrastructure, Equipment & Services ",446.85m,0.83,91.67,6.06,1.41
ICONIC (9113),MAIN,ICONIC WORLDWIDE BERHAD,"Travel, Leisure & Hospitality ",168.71m,0.10,-,0.00,-8.69
ICTZONE (03038),LEAP,ICT ZONE ASIA BERHAD,Technology Equipment ,126.23m,0.22,-,0.00,-
IDBTECH (03030),LEAP,IDB TECHNOLOGIES BERHAD,Software ,100.00m,0.20,-,1.00,-
IDEAL (9687),MAIN,IDEAL CAPITAL BERHAD,Property ,1.650b,3.30,26.00,0.91,9.68
IFCAMSC (0023),ACE,IFCA MSC BERHAD,Software ,203.78m,0.34,95.71,0.00,1.75
IGBB (5606),MAIN,IGB BERHAD,Property ,3.314b,2.44,10.62,2.87,7.70
IGBCR (5299),MAIN,IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,1.163b,0.49,17.82,7.12,2.83
IGBREIT (5227),MAIN,IGB REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,6.201b,1.72,11.98,6.09,12.81
IHB (7240),MAIN,INFRAHARTA HOLDINGS BERHAD,Construction ,56.84m,0.14,-,0.00,-31.69
IHH (5225),MAIN,IHH HEALTHCARE BERHAD,Health Care Providers ,53.547b,6.08,18.14,1.48,10.16
IHS046000824 (0401GA),IHSAN SUKUK-ETBS 4.60%0824,Islamic-gg ,-,103.40,-,-,-,
IJM (3336),MAIN,IJM CORPORATION BERHAD,Construction ,8.791b,2.41,27.67,3.32,3.09
ILB (5614),MAIN,ILB GROUP BERHAD,Transportation & Logistics Services ,124.82m,0.64,640.00,0.00,0.09
IMASPRO (7222),MAIN,IMASPRO CORPORATION BERHAD,Chemicals ,93.60m,1.17,27.66,2.99,2.66
INARI (0166),MAIN,INARI AMERTRON BERHAD,Semiconductors ,11.989b,3.19,40.59,2.57,11.12
INCKEN (2607),MAIN,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,Plantation ,170.40m,0.41,-,0.00,-1.02
INFOM (0265),ACE,INFOMINA BERHAD,Technology Equipment ,931.94m,1.55,19.70,0.00,36.27
INFOTEC (0253),ACE,INFOLINE TEC GROUP BERHAD,Digital Services ,285.13m,0.79,14.81,2.82,33.12
INGENIEU (5178),MAIN,INGENIEUR GUDANG BERHAD,Metals ,212.32m,0.14,11.86,0.00,10.63
INNATURE (5295),MAIN,INNATURE BERHAD,Personal Goods ,201.18m,0.29,19.13,3.51,7.23
INNITY (0147),ACE,INNITY CORPORATION BERHAD,Media ,57.16m,0.41,-,0.00,-0.85
INNO (6262),MAIN,INNOPRISE PLANTATIONS BERHAD,Plantation ,703.92m,1.47,13.17,6.80,17.17
INSAS (3379),MAIN,INSAS BERHAD,Other Financials ,734.99m,1.06,7.20,2.36,4.12
INTA (0192),MAIN,INTA BINA GROUP BERHAD,Construction ,188.72m,0.35,8.25,4.29,13.46
IOICORP (1961),MAIN,IOI CORPORATION BERHAD,Plantation ,25.015b,3.98,28.61,2.76,7.48
IOIPG (5249),MAIN,IOI PROPERTIES GROUP BERHAD,Property ,11.948b,2.17,18.48,2.30,2.89
IQGROUP (5107),MAIN,IQ GROUP HOLDINGS BERHAD,Household Goods ,67.34m,0.77,16.11,0.00,3.25
IQZAN (7183),MAIN,IQZAN HOLDING BERHAD,Packaging Materials ,1.11m,0.01,-,0.00,-63.77
IREKA (8834),MAIN,IREKA CORPORATION BERHAD,Construction ,68.34m,0.30,-,0.00,-
IRIS (0010),ACE,IRIS CORPORATION BERHAD,Software ,248.80m,0.31,7.33,0.00,36.17
ITMAX (5309),MAIN,ITMAX SYSTEM BERHAD,Digital Services ,2.429b,2.36,38.37,0.51,18.64
ITRONIC (9393),MAIN,INDUSTRONICS BERHAD,Technology Equipment ,35.38m,0.05,-,0.00,-
IVORY (5175),MAIN,IVORY PROPERTIES GROUP BERHAD,Property ,34.31m,0.07,-,0.00,-74.41
IWCITY (1589),MAIN,ISKANDAR WATERFRONT CITY BERHAD,Property ,750.72m,0.82,-,0.00,-0.85
JADEM (7043),MAIN,JADE MARVEL GROUP BERHAD,Building Materials ,79.85m,0.18,-,0.00,-7.51
JADI (7223),MAIN,JADI IMAGING HOLDINGS BERHAD,Consumer Services ,76.97m,0.06,-,0.00,-29.33
JAG (0024),ACE,JAG BERHAD,Industrial Services ,202.92m,0.32,160.00,0.00,0.01
JAKS (4723),MAIN,JAKS RESOURCES BERHAD,Construction ,343.63m,0.15,21.97,0.00,0.99
JASKITA (8648),MAIN,JASA KITA BERHAD,"Industrial Materials, Components & Equipment ",60.69m,0.14,-,0.00,-0.57
JAYCORP (7152),MAIN,JAYCORP BERHAD,Household Goods ,209.99m,0.77,12.07,7.84,8.93
JCBNEXT (0058),MAIN,JCBNEXT BERHAD,Industrial Services ,211.25m,1.60,5.95,3.75,9.70
JCY (5161),MAIN,JCY INTERNATIONAL BERHAD,Technology Equipment ,552.95m,0.26,-,0.00,-8.83
JETSON (9083),MAIN,KUMPULAN JETSON BERHAD,Auto Parts ,68.33m,0.26,-,0.00,-
JFTECH (0146),MAIN,JF TECHNOLOGY BERHAD,Technology Equipment ,834.35m,0.90,90.91,1.11,6.88
JHM (0127),MAIN,JHM CONSOLIDATION BERHAD,Semiconductors ,342.39m,0.57,23.64,0.00,4.51
JIANKUN (8923),MAIN,JIANKUN INTERNATIONAL BERHAD,Property ,88.92m,0.18,-,0.00,-
JISHAN (03040),LEAP,JISHAN BERHAD,Packaging Materials ,122.28m,0.52,-,0.00,-
JKGLAND (6769),MAIN,JKG LAND BERHAD,Property ,227.49m,0.10,11.24,0.00,3.56
JOE (7096),MAIN,JOE HOLDING BERHAD,Auto Parts ,71.89m,0.24,-,0.00,-1.49
JOHAN (3441),MAIN,JOHAN HOLDINGS BERHAD,Other Financials ,58.40m,0.05,-,0.00,-17.85
JSB (5673),MAIN,JENTAYU SUSTAINABLES BERHAD,Industrial Services ,432.36m,0.99,-,0.00,-16.59
JTGROUP (0292),ACE,JATI TINGGI GROUP BERHAD,Construction ,129.29m,0.33,-,0.00,-
JTIASA (4383),MAIN,JAYA TIASA HOLDINGS BHD,Plantation ,1.353b,1.39,7.30,2.30,12.20
K1 (0111),ACE,K-ONE TECHNOLOGY BERHAD,Technology Equipment ,128.96m,0.16,387.50,0.00,0.29
KAB (0193),MAIN,KINERGY ADVANCEMENT BERHAD,Industrial Engineering ,695.25m,0.35,24.31,0.00,13.09
KAMDAR (8672),MAIN,KAMDAR GROUP (M) BERHAD,Retailers ,33.66m,0.17,-,0.00,-3.41
KANGER (0170),ACE,KANGER INTERNATIONAL BERHAD,Household Goods ,43.89m,0.06,-,0.00,-
KAREX (5247),MAIN,KAREX BERHAD,Personal Goods ,848.04m,0.81,45.22,0.62,3.96
KARYON (0054),MAIN,KARYON INDUSTRIES BERHAD,Chemicals ,85.63m,0.18,14.17,1.94,5.08
KAWAN (7216),MAIN,KAWAN FOOD BERHAD,Food & Beverages ,650.55m,1.79,21.59,2.35,7.68
KEINHIN (7199),MAIN,KEIN HING INTERNATIONAL BERHAD,Metals ,140.48m,1.29,9.54,1.55,8.50
KEN (7323),MAIN,KEN HOLDINGS BERHAD,Property ,120.78m,0.63,11.05,0.00,2.85
KENANGA (6483),MAIN,KENANGA INVESTMENT BANK BERHAD,Other Financials ,779.91m,1.06,10.74,6.60,6.67
KERJAYA (7161),MAIN,KERJAYA PROSPEK GROUP BERHAD,Construction ,2.268b,1.79,17.15,4.47,11.47
KESM (9334),MAIN,KESM INDUSTRIES BERHAD,Semiconductors ,267.12m,6.21,1444.19,0.97,0.05
KEYASIC (0143),MAIN,KEY ASIC BERHAD,Semiconductors ,62.91m,0.05,-,0.00,-9.52
KEYFIELD (5321),MAIN,KEYFIELD INTERNATIONAL BERHAD,Semiconductors ,-,0.00,-,-,-
KFIMA (6491),MAIN,KUMPULAN FIMA BERHAD,Diversified Industrials ,575.75m,2.04,9.15,5.88,6.70
KGB (0151),MAIN,KELINGTON GROUP BERHAD,Industrial Engineering ,1.829b,2.74,17.82,1.46,29.41
KGROUP (0036),ACE,KEY ALLIANCE GROUP BERHAD,Technology Equipment ,36.78m,0.01,-,0.00,-20.74
KGW (0282),ACE,KGW GROUP BERHAD,Transportation & Logistics Services ,79.66m,0.17,-,0.00,-
KHEESAN (6203),MAIN,KHEE SAN BERHAD,Food & Beverages ,22.65m,0.17,10.25,0.00,-
KHIND (7062),MAIN,KHIND HOLDINGS BERHAD,Household Goods ,110.56m,2.63,15.44,3.04,3.36
