Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
APOLLO (6432),MAIN,APOLLO FOOD HOLDINGS BERHAD,Food & Beverages ,567.20m,7.09,10.38,9.87,21.14
APPASIA (0119),ACE,APPASIA BERHAD,Software ,116.84m,0.10,58.82,0.00,7.39
ARANK (7214),MAIN,A-RANK BERHAD,Metals ,93.85m,0.53,6.90,4.76,7.77
ARBB (7181),MAIN,ARB BERHAD,Software ,49.99m,0.04,-,0.00,-
ARK (7007),MAIN,ARK RESOURCES HOLDINGS BERHAD,Property ,27.84m,0.40,17.94,0.00,10.62
ARMADA (5210),MAIN,BUMI ARMADA BERHAD,"Energy Infrastructure, Equipment & Services ",3.465b,0.59,10.43,0.00,5.97
ARREIT (5127),MAIN,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,214.96m,0.38,65.79,2.21,0.45
ARTRONIQ (0038),ACE,ARTRONIQ BERHAD,Chemicals ,114.23m,0.28,-,0.00,-
ASB (1481),MAIN,ADVANCE SYNERGY BERHAD,"Travel, Leisure & Hospitality ",278.21m,0.11,-,0.91,-11.54
ASDION (0068),ACE,ASDION BERHAD,Software ,40.86m,0.08,-,0.00,-
ASIABRN (7722),MAIN,ASIA BRANDS BERHAD,Personal Goods ,97.71m,0.42,11.26,4.76,3.66
ASIAFLE (7129),MAIN,ASIA FILE CORPORATION BHD,Consumer Services ,447.62m,2.29,9.73,3.06,5.82
ASIAPAC (4057),MAIN,ASIAN PAC HOLDINGS BERHAD,Property ,156.33m,0.11,42.00,0.00,0.34
ASIAPLY (0105),ACE,ASIA POLY HOLDINGS BERHAD,Chemicals ,62.30m,0.07,-,0.00,-7.00
ASTEEL (7020),MAIN,ASTEEL GROUP BERHAD,Metals ,48.49m,0.10,-,0.00,-10.77
ASTINO (7162),MAIN,ASTINO BERHAD,Building Materials ,296.05m,0.60,7.71,1.67,7.01
ASTRA (03032),LEAP,ASTRAMINA GROUP BERHAD,Food & Beverages ,100.70m,0.37,-,0.00,-
ASTRO (6399),MAIN,ASTRO MALAYSIA HOLDINGS BERHAD,Media ,1.592b,0.31,42.96,0.82,3.35
AT (0072),ACE,AT SYSTEMATIZATION BERHAD,"Industrial Materials, Components & Equipment ",35.06m,0.16,-,0.00,-934.32
ATAIMS (8176),MAIN,ATA IMS BERHAD,"Industrial Materials, Components & Equipment ",331.20m,0.28,-,0.00,-28.78
ATECH (5302),MAIN,AURELIUS TECHNOLOGIES BERHAD,"Industrial Materials, Components & Equipment ",1.060b,2.69,-,0.86,-
ATLAN (7048),MAIN,ATLAN HOLDINGS BHD.,Retailers ,692.47m,2.73,28.83,3.66,5.81
ATRIUM (5130),MAIN,ATRIUM REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,355.84m,1.34,13.84,5.15,7.20
AURO (5025),MAIN,AURO HOLDINGS BERHAD,Wood & Wood Products ,89.75m,0.16,-,0.00,-4.35
AURORA (03037),LEAP,AURORA ITALIA INTERNATIONAL BERHAD,Personal Goods ,137.73m,0.22,-,0.91,-
AVALAND (5182),MAIN,AVALAND BERHAD,Property ,502.66m,0.35,7.62,0.00,7.08
AVI (8885),MAIN,AVILLION BERHAD,"Travel, Leisure & Hospitality ",62.33m,0.06,-,0.00,-2.54
AWANTEC (5204),MAIN,AWANBIRU TECHNOLOGY BERHAD,Digital Services ,304.11m,0.39,-,0.00,-0.44
AWC (7579),MAIN,AWC BERHAD,Industrial Services ,221.39m,0.67,-,0.75,-1.24
AXIATA (6888),MAIN,AXIATA GROUP BERHAD,Telecommunications Service Providers ,24.516b,2.67,-,3.75,-9.05
AXREIT (5106),MAIN,AXIS REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,3.198b,1.83,14.69,4.73,7.71
AXTERIA (7120),MAIN,AXTERIA GROUP BERHAD,Property ,100.36m,0.14,-,0.00,-0.67
AYER (2305),MAIN,AYER HOLDINGS BERHAD,Property ,523.97m,7.00,12.03,2.86,7.32
AYS (5021),MAIN,AYS VENTURES BERHAD,Building Materials ,152.74m,0.37,5.28,2.74,6.40
AZRB (7078),MAIN,AHMAD ZAKI RESOURCES BERHAD,Construction ,164.44m,0.25,2.48,0.00,40.32
BABA (03012),LEAP,BABA ECO GROUP BERHAD,Household Goods ,98.88m,0.44,-,0.43,-
BAHVEST (0098),ACE,BAHVEST RESOURCES BERHAD,Metals ,607.49m,0.49,-,0.00,-
BARAKAH (7251),MAIN,BARAKAH OFFSHORE PETROLEUM BERHAD,"Energy Infrastructure, Equipment & Services ",35.10m,0.04,-,0.00,-
BAT (4162),MAIN,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,Personal Goods ,2.327b,8.15,11.95,7.73,51.67
BAUTO (5248),MAIN,BERMAZ AUTO BERHAD,Automotive ,2.822b,2.41,7.81,9.13,46.01
BCB (6602),MAIN,BCB BERHAD,Property ,127.88m,0.31,9.09,0.00,2.69
BCMALL (0187),ACE,BCM ALLIANCE BERHAD,Industrial Services ,30.51m,0.02,-,0.00,-34.00
BDB (6173),MAIN,BINA DARULAMAN BERHAD,Property ,123.06m,0.41,9.71,1.14,2.61
BENALEC (5190),MAIN,BENALEC HOLDINGS BERHAD,Construction ,118.63m,0.12,-,0.00,-18.14
BERTAM (9814),MAIN,BERTAM ALLIANCE BERHAD,Property ,35.48m,0.11,61.11,0.00,0.34
BESHOM (7668),MAIN,BESHOM HOLDINGS BERHAD,Retailers ,264.09m,0.88,25.29,5.68,3.41
BETA (0263),ACE,BETAMEK BERHAD,Auto Parts ,175.50m,0.39,8.28,7.69,14.27
BHIC (8133),MAIN,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,Transportation Equipment ,259.57m,0.46,-,0.00,-167.00
BIG (7005),MAIN,B.I.G. INDUSTRIES BERHAD,Diversified Industrials ,44.12m,0.70,17.73,0.00,6.03
BIMB (5258),MAIN,BIMB HOLDINGS BERHAD,Banking ,5.689b,2.51,10.29,6.70,7.46
BINACOM (0195),ACE,BINASAT COMMUNICATIONS BERHAD,Telecommunications Service Providers ,102.90m,0.27,-,0.00,-
BINTAI (6998),MAIN,BINTAI KINDEN CORPORATION BERHAD,Industrial Engineering ,91.50m,0.08,-,0.00,-46.53
BIOHLDG (0179),ACE,BIOALPHA HOLDINGS BERHAD,Food & Beverages ,119.55m,0.09,-,0.00,-27.84
BIPORT (5032),MAIN,BINTULU PORT HOLDINGS BERHAD,Transportation & Logistics Services ,2.668b,5.80,21.33,2.07,6.85
BJASSET (3239),MAIN,BERJAYA ASSETS BERHAD,Property ,818.65m,0.32,-,0.00,-1.19
BJCORP (3395),MAIN,BERJAYA CORPORATION BERHAD,Diversified Industrials ,1.789b,0.30,-,0.00,-2.80
BJFOOD (5196),MAIN,BERJAYA FOOD BERHAD,"Travel, Leisure & Hospitality ",1.169b,0.60,120.00,5.83,1.92
BJLAND (4219),MAIN,BERJAYA LAND BERHAD,"Travel, Leisure & Hospitality ",1.850b,0.37,112.12,0.00,0.42
